label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt
baseline,baseline,0,20.0,20.0,0.85,1.0,5.555555555555555,True,,0.6027469661537133,10.888895534943291,1.4547714558053892,20.0,0.0,8.3385,2.5577754974365234,5.188236239053459,2.7173509967639706,8.3385,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.4,1.0,5.555555555555555,False,vehicle.ue4.audi.tt,0.0,0.0,1.4538008571492593,8.927610895777336,11.072389104222664,3.924000000000003,0.0,4.897581116609707,2.718422390323319,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,20.0,20.0,0.85,1.5,8.333333333333332,True,,1.0116252969866775,5.73847934150189,1.552349183631255,20.0,0.0,8.3385,3.371641159057617,5.779272086561314,3.4052623213137343,8.3385,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.4,1.5,8.333333333333332,False,vehicle.ue4.audi.tt,0.0,0.0,1.5517165624509937,15.565856044108624,4.4341439558913756,3.924000000000003,0.0,4.8972206237744205,3.4060410086891357,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,20.0,20.0,0.85,2.0,11.11111111111111,True,,1.1502418522711446,3.6585754881056736,1.4879785358275417,20.0,0.0,3.335400049701338,4.358644485473633,5.917972565164771,2.7337699414590824,8.3385,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.4,2.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,4.38955585925887,1.487447002320606,18.4467739932138,1.5532260067861998,3.924000000000003,0.0,4.891412748516197,2.7342116882485694,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,20.0,20.0,0.85,2.5,13.88888888888889,True,,2.552145005013946,3.6574361751269278,1.5206761669625914,20.0,0.0,3.335400049701338,4.360797882080078,7.319877625256613,2.183607325572115,8.3385,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.4,2.5,13.88888888888889,True,,0.420518887845061,2.955750212201,1.5202157541537569,20.0,0.0,3.924000000000003,6.491558074951172,5.18831826535347,2.183888025514949,3.9240000000000004,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.85,3.0,16.666666666666664,True,,3.953805939392387,3.659027209484476,1.5070052248990176,20.0,0.0,3.335400049701338,4.358020782470703,8.721536652268824,1.820454019489893,8.3385,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.4,3.0,16.666666666666664,True,,0.6775398371518229,2.198910754234844,1.5068294523563646,20.0,0.0,3.924000000000003,7.633420944213867,5.445390713006315,1.8206413422879586,3.9240000000000004,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.85,1.0,8.333333333333334,True,,0.6712913828119929,8.359689398119565,1.5088799646867508,30.0,0.0,8.3385,6.274269104003906,5.438911469611671,4.811416715652392,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,1.0,8.333333333333334,False,vehicle.ue4.audi.tt,0.0,0.0,1.514106292714307,17.188483998645236,12.811516001354764,3.924000000000003,0.0,4.928947466959329,4.814026895771882,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,1.5,12.5,True,,0.9792502074693052,6.895581435898052,1.474052343947086,30.0,0.0,8.3385,6.82330322265625,5.747101083323797,4.40442254770468,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,1.5,12.5,False,vehicle.ue4.audi.tt,0.0,0.0,1.4761827343306624,20.899391339903204,9.100608660096798,3.924000000000003,0.0,4.910390856645532,4.406167552935938,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,2.0,16.666666666666668,True,,1.5486813843112897,5.107329718194639,1.5810332343918112,30.0,0.0,8.3385,7.940647125244141,6.316356784332467,3.5988749606048316,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,2.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,1.5826533944358787,22.33318035230323,7.6668196476967685,3.924000000000003,0.0,4.926521303257393,3.599983356972609,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,2.5,20.833333333333336,True,,0.8010883827468183,3.501718372541213,1.5035631538780867,30.0,0.0,3.335400049701338,9.961446762084961,5.5689392586013104,3.1712650949832226,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,2.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,1.5009084432581237,22.917538227059165,7.082461772940835,3.924000000000003,0.0,4.897323705812872,3.1721177501554467,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,3.0,25.0,True,,2.9010753636502216,3.502685163919606,1.5845252645655392,30.0,0.0,3.335400049701338,9.959478378295898,7.668926239504714,2.658763670245465,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,3.0,25.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5854186960276084,24.015627038394513,5.9843729616054855,3.924000000000003,0.0,4.902309455541974,2.659365944391488,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.500388805933744,35.924029243253415,4.075970756746586,8.3385,0.0,4.892276174321529,5.669209878360127,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.4,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.5008205994875503,20.829125478154644,19.170874521845356,3.924000000000003,0.0,4.9283752631173385,5.671003690835817,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,7.888407590652669,1.4955192880972161,38.05351997810984,1.9464800218901612,8.338500000000018,0.0,4.893519816577375,5.363921155121329,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.4,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,0.0,1.4947289658620464,25.609316828443482,14.39068317155652,3.924000000000003,0.0,4.953075420295158,5.365422950661139,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
