pass_type,frame_index,timestamp,ego_x,ego_y,ego_yaw,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_area_px,img_width,img_height
background,0,0.0,3.02,-8.7,-90,2,car,0.7881,0.0,537.8,204.9,718.47,37018.7,1280,720
background,1,0.15,3.02,-9.95,-90,2,car,0.4623,295.66,502.54,401.15,577.81,7940.3,1280,720
background,2,0.3,3.02,-11.2,-90,2,car,0.7385,258.01,506.45,385.57,590.64,10739.2,1280,720
background,2,0.3,3.02,-11.2,-90,2,car,0.6456,370.38,478.76,460.92,532.89,4900.7,1280,720
background,3,0.45,3.02,-12.45,-90,2,car,0.8286,212.8,511.78,364.6,603.26,13886.8,1280,720
background,3,0.45,3.02,-12.45,-90,7,truck,0.5377,0.27,525.85,235.35,716.26,44759.6,1280,720
background,3,0.45,3.02,-12.45,-90,2,car,0.4621,356.1,479.16,449.45,536.65,5366.2,1280,720
background,4,0.6,3.02,-13.7,-90,2,car,0.8324,152.75,516.68,339.84,619.74,19280.6,1280,720
background,4,0.6,3.02,-13.7,-90,2,car,0.6623,335.9,481.31,436.85,543.42,6270.5,1280,720
background,5,0.75,3.02,-14.95,-90,2,car,0.6304,314.28,483.16,425.0,550.37,7442.2,1280,720
background,5,0.75,3.02,-14.95,-90,2,car,0.5656,70.35,531.02,257.47,642.45,20851.4,1280,720
background,6,0.9,3.02,-16.2,-90,2,car,0.8181,1.32,529.93,288.95,665.93,39119.3,1280,720
background,6,0.9,3.02,-16.2,-90,2,car,0.6338,283.76,485.85,417.76,558.98,9800.3,1280,720
background,7,1.05,3.02,-17.45,-90,2,car,0.8129,0.23,538.7,253.51,695.49,39712.1,1280,720
background,7,1.05,3.02,-17.45,-90,2,car,0.7718,254.71,486.77,405.16,570.0,12520.4,1280,720
background,7,1.05,3.02,-17.45,-90,2,car,0.6115,372.49,465.87,451.33,519.09,4196.4,1280,720
background,7,1.05,3.02,-17.45,-90,2,car,0.4886,553.53,449.96,591.33,477.8,1052.3,1280,720
background,8,1.2,3.02,-18.7,-90,2,car,0.7205,0.41,549.96,210.94,713.96,34525.7,1280,720
background,8,1.2,3.02,-18.7,-90,2,car,0.6458,216.7,490.8,385.26,577.05,14536.8,1280,720
background,8,1.2,3.02,-18.7,-90,2,car,0.49,550.8,448.64,588.23,477.68,1087.1,1280,720
background,9,1.35,3.02,-19.95,-90,2,car,0.7953,179.23,494.1,368.56,586.96,17581.9,1280,720
background,9,1.35,3.02,-19.95,-90,2,car,0.5656,0.06,561.81,162.6,692.75,21284.4,1280,720
background,9,1.35,3.02,-19.95,-90,2,car,0.4898,547.04,447.38,587.13,479.32,1280.5,1280,720
background,9,1.35,3.02,-19.95,-90,2,car,0.4792,332.98,474.17,411.72,529.79,4379.2,1280,720
background,9,1.35,3.02,-19.95,-90,2,car,0.4683,420.19,454.88,463.9,505.19,2199.1,1280,720
background,10,1.5,3.02,-21.2,-90,2,car,0.7251,124.87,497.23,353.18,604.89,24580.3,1280,720
background,10,1.5,3.02,-21.2,-90,2,car,0.554,310.21,469.75,418.67,531.88,6738.9,1280,720
background,10,1.5,3.02,-21.2,-90,2,car,0.5324,543.8,447.66,585.86,478.91,1314.3,1280,720
background,11,1.65,3.02,-22.45,-90,2,car,0.878,74.59,500.7,316.15,619.53,28706.2,1280,720
background,11,1.65,3.02,-22.45,-90,2,car,0.6175,281.87,472.64,401.7,542.31,8348.5,1280,720
background,11,1.65,3.02,-22.45,-90,2,car,0.5016,540.15,443.42,585.12,480.56,1670.0,1280,720
background,11,1.65,3.02,-22.45,-90,2,car,0.4652,396.1,452.16,454.69,514.07,3627.5,1280,720
background,11,1.65,3.02,-22.45,-90,2,car,0.4627,338.98,469.58,405.29,522.91,3536.3,1280,720
background,12,1.8,3.02,-23.7,-90,2,car,0.8606,0.39,506.78,285.85,645.64,39640.6,1280,720
background,12,1.8,3.02,-23.7,-90,2,car,0.6238,241.9,474.02,364.44,551.28,9466.6,1280,720
background,12,1.8,3.02,-23.7,-90,2,car,0.5565,537.26,442.96,582.89,481.89,1776.1,1280,720
background,13,1.95,3.02,-24.95,-90,2,car,0.8506,207.82,472.28,371.03,564.23,15006.4,1280,720
background,13,1.95,3.02,-24.95,-90,2,car,0.8165,0.25,513.94,236.63,669.92,36870.0,1280,720
background,13,1.95,3.02,-24.95,-90,2,car,0.5761,533.06,444.12,581.26,484.67,1954.3,1280,720
background,13,1.95,3.02,-24.95,-90,2,car,0.5211,361.85,449.43,433.87,517.47,4899.7,1280,720
background,14,2.1,3.02,-26.2,-90,2,car,0.829,173.17,474.84,349.83,574.78,17654.6,1280,720
background,14,2.1,3.02,-26.2,-90,2,car,0.6193,528.26,445.89,579.12,487.31,2106.8,1280,720
background,14,2.1,3.02,-26.2,-90,2,car,0.483,347.64,453.73,429.46,522.95,5663.7,1280,720
background,15,2.25,3.02,-27.45,-90,2,car,0.7876,127.56,479.1,327.68,588.6,21913.1,1280,720
background,15,2.25,3.02,-27.45,-90,2,car,0.6298,524.1,446.37,577.39,488.2,2229.0,1280,720
background,15,2.25,3.02,-27.45,-90,2,car,0.6064,324.4,453.11,406.56,530.38,6348.7,1280,720
background,15,2.25,3.02,-27.45,-90,2,car,0.5236,0.66,534.95,137.0,655.23,16399.3,1280,720
background,16,2.4,3.02,-28.7,-90,2,car,0.7481,61.12,483.43,298.44,610.15,30073.0,1280,720
background,16,2.4,3.02,-28.7,-90,2,car,0.5951,221.37,478.75,302.45,561.19,6684.1,1280,720
background,16,2.4,3.02,-28.7,-90,2,car,0.5346,0.12,558.29,68.23,667.31,7425.8,1280,720
background,17,2.55,3.02,-29.95,-90,2,car,0.6493,512.85,441.2,572.0,490.91,2940.8,1280,720
background,18,2.7,3.02,-31.2,-90,2,car,0.6433,506.46,443.98,566.9,493.88,3015.5,1280,720
background,18,2.7,3.02,-31.2,-90,2,car,0.4663,0.23,499.09,143.23,650.67,21675.6,1280,720
background,19,2.85,3.02,-32.45,-90,2,car,0.7239,171.11,458.16,363.04,563.67,20249.5,1280,720
background,19,2.85,3.02,-32.45,-90,2,car,0.6723,499.26,451.78,564.09,496.93,2927.3,1280,720
background,19,2.85,3.02,-32.45,-90,2,car,0.5427,354.67,466.46,419.71,512.44,2990.4,1280,720
background,20,3.0,3.02,-33.7,-90,2,car,0.6668,492.65,453.45,558.44,498.99,2996.0,1280,720
background,20,3.0,3.02,-33.7,-90,2,car,0.47,333.49,463.28,404.07,516.02,3722.8,1280,720
background,21,3.15,3.02,-34.95,-90,2,car,0.7779,50.35,458.88,318.37,593.47,36072.9,1280,720
background,21,3.15,3.02,-34.95,-90,2,car,0.5801,482.83,455.9,550.22,502.3,3126.8,1280,720
background,22,3.3,3.02,-36.2,-90,2,car,0.7564,0.02,456.42,287.77,614.64,45528.9,1280,720
background,22,3.3,3.02,-36.2,-90,2,car,0.7272,473.3,454.99,550.24,504.43,3803.7,1280,720
background,22,3.3,3.02,-36.2,-90,2,car,0.566,277.84,458.76,377.14,523.91,6469.2,1280,720
background,23,3.45,3.02,-37.45,-90,2,car,0.6878,464.5,454.72,541.75,508.36,4143.8,1280,720
background,23,3.45,3.02,-37.45,-90,2,car,0.5971,889.66,450.91,1159.25,566.12,31057.8,1280,720
background,23,3.45,3.02,-37.45,-90,2,car,0.5044,0.06,459.36,245.56,634.71,43048.4,1280,720
background,23,3.45,3.02,-37.45,-90,2,car,0.4582,241.24,460.56,354.31,533.01,8192.3,1280,720
background,24,3.6,3.02,-38.7,-90,2,car,0.7087,451.28,453.84,536.84,512.8,5045.0,1280,720
background,24,3.6,3.02,-38.7,-90,2,car,0.6637,934.06,484.77,1215.63,580.04,26823.3,1280,720
background,24,3.6,3.02,-38.7,-90,2,car,0.6333,787.31,439.85,874.89,486.65,4099.4,1280,720
background,24,3.6,3.02,-38.7,-90,2,car,0.5991,198.48,444.55,330.75,542.0,12890.4,1280,720
background,25,3.75,3.02,-39.95,-90,2,car,0.7749,436.96,452.17,529.67,518.24,6125.5,1280,720
background,25,3.75,3.02,-39.95,-90,2,car,0.7073,149.48,427.65,375.62,549.64,27585.5,1280,720
background,25,3.75,3.02,-39.95,-90,2,car,0.6779,794.11,440.68,900.66,491.4,5403.5,1280,720
background,25,3.75,3.02,-39.95,-90,2,car,0.6062,966.57,460.74,1278.7,595.03,41914.4,1280,720
background,25,3.75,3.02,-39.95,-90,2,car,0.4924,361.96,431.2,404.25,494.53,2678.2,1280,720
background,25,3.75,3.02,-39.95,-90,2,car,0.4696,400.77,433.5,481.53,487.08,4327.0,1280,720
background,26,3.9,3.02,-41.2,-90,2,car,0.8009,420.23,454.71,514.17,523.82,6492.2,1280,720
background,26,3.9,3.02,-41.2,-90,2,car,0.7501,805.84,438.57,924.98,493.09,6496.0,1280,720
background,26,3.9,3.02,-41.2,-90,2,car,0.7307,92.27,431.76,304.4,559.75,27150.9,1280,720
background,26,3.9,3.02,-41.2,-90,2,car,0.5511,351.63,438.99,390.72,498.04,2308.1,1280,720
background,27,4.05,3.02,-42.45,-90,2,car,0.8314,822.12,437.98,938.59,495.59,6710.3,1280,720
background,27,4.05,3.02,-42.45,-90,2,car,0.6803,402.98,455.06,504.31,529.81,7574.3,1280,720
background,27,4.05,3.02,-42.45,-90,2,car,0.6461,16.07,410.38,329.06,575.39,51648.2,1280,720
background,27,4.05,3.02,-42.45,-90,7,truck,0.5022,18.67,409.46,329.3,573.93,51088.1,1280,720
background,28,4.2,3.02,-43.7,-90,2,car,0.779,840.33,437.58,962.09,498.52,7420.7,1280,720
