pass_type,frame_index,timestamp,ego_x,ego_y,ego_yaw,class_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_area_px,img_width,img_height
background,28,4.2,3.02,-43.7,-90,2,car,0.7117,377.16,454.57,489.52,538.26,9402.5,1280,720
background,28,4.2,3.02,-43.7,-90,2,car,0.4807,1137.25,507.85,1279.43,617.62,15607.6,1280,720
background,28,4.2,3.02,-43.7,-90,2,car,0.457,949.54,441.55,1023.04,488.03,3415.8,1280,720
background,29,4.35,3.02,-44.95,-90,2,car,0.766,854.61,437.22,981.0,501.95,8181.3,1280,720
background,29,4.35,3.02,-44.95,-90,2,car,0.4928,346.57,455.58,498.48,547.53,13967.3,1280,720
background,30,4.5,3.02,-46.2,-90,2,car,0.6685,855.84,439.49,1007.31,506.34,10126.3,1280,720
background,31,4.65,3.02,-47.45,-90,2,car,0.7005,877.49,437.74,1033.05,511.39,11456.1,1280,720
background,32,4.8,3.02,-48.7,-90,2,car,0.5316,902.02,436.52,1088.5,512.34,14137.5,1280,720
background,32,4.8,3.02,-48.7,-90,2,car,0.4999,843.36,451.66,887.15,494.28,1866.0,1280,720
background,33,4.95,3.02,-49.95,-90,9,traffic light,0.7166,1167.67,272.66,1205.39,350.86,2949.5,1280,720
background,33,4.95,3.02,-49.95,-90,2,car,0.6702,921.11,434.31,1119.15,521.33,17235.3,1280,720
background,33,4.95,3.02,-49.95,-90,2,car,0.4798,854.44,452.13,914.54,496.77,2682.5,1280,720
background,34,5.1,3.02,-51.2,-90,2,car,0.4663,935.1,433.23,1158.85,528.99,21425.3,1280,720
with_actor,0,0.0,3.02,-8.7,-90,2,car,0.7903,0.0,538.07,204.97,718.45,36972.8,1280,720
with_actor,1,0.15,3.02,-9.95,-90,2,car,0.47,295.57,502.54,401.21,577.8,7950.2,1280,720
with_actor,2,0.3,3.02,-11.2,-90,2,car,0.7455,260.3,506.62,386.75,589.45,10475.2,1280,720
with_actor,2,0.3,3.02,-11.2,-90,2,car,0.6479,370.54,478.72,460.71,532.84,4879.5,1280,720
with_actor,2,0.3,3.02,-11.2,-90,7,truck,0.4548,1039.14,549.21,1279.54,716.24,40153.9,1280,720
with_actor,3,0.45,3.02,-12.45,-90,2,car,0.8237,212.78,511.74,364.44,603.26,13879.7,1280,720
with_actor,3,0.45,3.02,-12.45,-90,7,truck,0.5566,0.28,525.9,235.3,716.22,44729.3,1280,720
with_actor,3,0.45,3.02,-12.45,-90,2,car,0.4678,356.16,479.06,449.59,536.65,5380.5,1280,720
with_actor,4,0.6,3.02,-13.7,-90,2,car,0.8352,152.72,516.61,339.53,619.64,19247.2,1280,720
with_actor,4,0.6,3.02,-13.7,-90,2,car,0.6694,336.14,481.88,435.99,543.45,6147.8,1280,720
with_actor,5,0.75,3.02,-14.95,-90,2,car,0.6287,314.15,483.17,424.89,550.31,7435.5,1280,720
with_actor,5,0.75,3.02,-14.95,-90,2,car,0.5546,70.23,530.9,264.45,642.56,21688.6,1280,720
with_actor,6,0.9,3.02,-16.2,-90,2,car,0.8258,1.26,529.74,289.61,665.99,39288.0,1280,720
with_actor,6,0.9,3.02,-16.2,-90,2,car,0.6449,283.8,485.88,417.6,559.09,9796.7,1280,720
with_actor,7,1.05,3.02,-17.45,-90,2,car,0.8184,0.23,538.78,254.22,695.53,39813.6,1280,720
with_actor,7,1.05,3.02,-17.45,-90,2,car,0.7746,255.3,486.67,406.2,567.91,12258.7,1280,720
with_actor,7,1.05,3.02,-17.45,-90,2,car,0.6212,372.62,465.83,451.36,519.13,4196.6,1280,720
with_actor,7,1.05,3.02,-17.45,-90,2,car,0.4865,553.47,449.98,591.34,477.78,1052.6,1280,720
with_actor,8,1.2,3.02,-18.7,-90,2,car,0.7155,0.41,549.96,211.28,713.97,34584.1,1280,720
with_actor,8,1.2,3.02,-18.7,-90,2,car,0.6438,216.66,490.79,385.47,577.1,14568.9,1280,720
with_actor,8,1.2,3.02,-18.7,-90,2,car,0.4899,550.8,448.67,588.28,477.68,1087.5,1280,720
with_actor,9,1.35,3.02,-19.95,-90,2,car,0.7975,179.45,494.18,368.98,586.96,17585.5,1280,720
with_actor,9,1.35,3.02,-19.95,-90,2,car,0.5605,0.04,561.77,162.64,692.91,21321.9,1280,720
with_actor,9,1.35,3.02,-19.95,-90,2,car,0.4884,547.12,447.48,587.12,479.29,1272.4,1280,720
with_actor,9,1.35,3.02,-19.95,-90,2,car,0.4795,333.08,474.05,412.19,529.77,4408.2,1280,720
with_actor,9,1.35,3.02,-19.95,-90,2,car,0.4689,420.21,454.98,463.89,505.19,2193.0,1280,720
with_actor,10,1.5,3.02,-21.2,-90,2,car,0.7359,125.15,497.2,353.23,604.87,24556.2,1280,720
with_actor,10,1.5,3.02,-21.2,-90,2,car,0.5511,310.61,469.68,418.68,531.9,6723.8,1280,720
with_actor,10,1.5,3.02,-21.2,-90,2,car,0.5321,543.83,447.62,585.85,478.91,1315.0,1280,720
with_actor,11,1.65,3.02,-22.45,-90,2,car,0.878,74.55,500.66,315.71,619.52,28663.9,1280,720
with_actor,11,1.65,3.02,-22.45,-90,2,car,0.6179,281.99,472.56,401.74,542.23,8343.3,1280,720
with_actor,11,1.65,3.02,-22.45,-90,2,car,0.5063,540.13,443.22,585.17,480.58,1682.7,1280,720
with_actor,11,1.65,3.02,-22.45,-90,2,car,0.4601,396.05,452.06,454.94,514.01,3648.3,1280,720
with_actor,11,1.65,3.02,-22.45,-90,2,car,0.4581,337.64,469.53,405.33,523.03,3621.6,1280,720
with_actor,12,1.8,3.02,-23.7,-90,2,car,0.8603,0.39,506.8,286.05,645.64,39663.8,1280,720
with_actor,12,1.8,3.02,-23.7,-90,2,car,0.6301,241.74,473.82,369.33,551.35,9891.3,1280,720
with_actor,12,1.8,3.02,-23.7,-90,2,car,0.5545,537.26,443.19,582.93,481.87,1766.5,1280,720
with_actor,13,1.95,3.02,-24.95,-90,2,car,0.8508,207.76,472.19,371.08,564.25,15034.2,1280,720
with_actor,13,1.95,3.02,-24.95,-90,2,car,0.8214,0.24,513.82,237.24,669.85,36978.3,1280,720
with_actor,13,1.95,3.02,-24.95,-90,2,car,0.5832,533.04,443.98,581.33,484.62,1962.6,1280,720
with_actor,13,1.95,3.02,-24.95,-90,2,car,0.5256,361.44,449.12,433.71,517.56,4945.6,1280,720
with_actor,14,2.1,3.02,-26.2,-90,2,car,0.8291,173.27,474.79,349.8,574.83,17659.1,1280,720
with_actor,14,2.1,3.02,-26.2,-90,2,car,0.6215,528.26,445.9,579.16,487.33,2108.5,1280,720
with_actor,14,2.1,3.02,-26.2,-90,2,car,0.4905,347.7,453.78,429.51,522.98,5660.5,1280,720
with_actor,14,2.1,3.02,-26.2,-90,2,car,0.4751,862.3,472.07,929.92,509.15,2507.1,1280,720
with_actor,15,2.25,3.02,-27.45,-90,2,car,0.7886,127.5,479.08,327.68,588.63,21929.2,1280,720
with_actor,15,2.25,3.02,-27.45,-90,2,car,0.6429,523.99,446.33,577.41,488.19,2236.1,1280,720
with_actor,15,2.25,3.02,-27.45,-90,2,car,0.6039,324.34,453.15,406.63,530.37,6354.2,1280,720
with_actor,15,2.25,3.02,-27.45,-90,2,car,0.5022,0.47,534.61,136.71,653.91,16251.6,1280,720
with_actor,15,2.25,3.02,-27.45,-90,2,car,0.4977,879.58,477.54,953.1,511.36,2486.7,1280,720
with_actor,16,2.4,3.02,-28.7,-90,2,car,0.7415,61.16,483.54,298.36,610.2,30044.1,1280,720
with_actor,16,2.4,3.02,-28.7,-90,2,car,0.6011,221.29,478.76,302.4,561.19,6686.4,1280,720
with_actor,16,2.4,3.02,-28.7,-90,2,car,0.5372,0.12,558.33,68.33,667.3,7433.6,1280,720
with_actor,16,2.4,3.02,-28.7,-90,2,car,0.4985,824.64,481.07,880.53,522.8,2332.4,1280,720
with_actor,16,2.4,3.02,-28.7,-90,2,car,0.4904,904.09,480.83,977.42,516.62,2625.1,1280,720
with_actor,17,2.55,3.02,-29.95,-90,2,car,0.6368,512.82,441.71,571.98,490.84,2906.5,1280,720
with_actor,17,2.55,3.02,-29.95,-90,2,car,0.5694,839.83,483.08,904.02,529.95,3009.0,1280,720
with_actor,18,2.7,3.02,-31.2,-90,2,car,0.6442,506.52,444.27,567.03,493.86,3000.9,1280,720
with_actor,18,2.7,3.02,-31.2,-90,2,car,0.5289,969.78,493.48,1039.19,527.8,2381.9,1280,720
with_actor,18,2.7,3.02,-31.2,-90,2,car,0.472,0.23,499.16,142.72,650.73,21597.9,1280,720
with_actor,19,2.85,3.02,-32.45,-90,2,car,0.742,872.61,485.47,972.57,545.6,6010.1,1280,720
with_actor,19,2.85,3.02,-32.45,-90,2,car,0.7286,171.09,458.21,363.14,563.62,20241.8,1280,720
with_actor,19,2.85,3.02,-32.45,-90,2,car,0.6787,499.3,452.02,564.2,496.95,2915.9,1280,720
with_actor,19,2.85,3.02,-32.45,-90,2,car,0.5459,354.83,466.52,419.73,512.42,2978.5,1280,720
with_actor,20,3.0,3.02,-33.7,-90,2,car,0.6621,492.65,453.88,558.34,499.02,2964.8,1280,720
with_actor,20,3.0,3.02,-33.7,-90,2,car,0.5317,1075.27,499.32,1279.56,691.01,39160.2,1280,720
with_actor,20,3.0,3.02,-33.7,-90,2,car,0.5155,892.1,488.84,1024.47,556.03,8894.5,1280,720
with_actor,20,3.0,3.02,-33.7,-90,2,car,0.4635,333.48,463.25,404.2,516.01,3731.1,1280,720
with_actor,21,3.15,3.02,-34.95,-90,2,car,0.7785,50.39,458.81,318.27,593.53,36089.8,1280,720
with_actor,21,3.15,3.02,-34.95,-90,2,car,0.7004,918.83,482.79,1090.3,564.12,13946.4,1280,720
with_actor,21,3.15,3.02,-34.95,-90,2,car,0.5775,482.88,455.89,550.28,502.31,3128.9,1280,720
with_actor,22,3.3,3.02,-36.2,-90,2,car,0.7733,941.73,485.49,1185.41,578.92,22767.9,1280,720
with_actor,22,3.3,3.02,-36.2,-90,2,car,0.7481,0.02,456.51,287.9,614.7,45540.2,1280,720
with_actor,22,3.3,3.02,-36.2,-90,2,car,0.7299,473.3,455.1,550.36,504.43,3801.2,1280,720
with_actor,22,3.3,3.02,-36.2,-90,2,car,0.5591,277.81,458.46,377.25,523.85,6502.3,1280,720
with_actor,23,3.45,3.02,-37.45,-90,2,car,0.9044,978.0,488.5,1280.0,598.88,33338.1,1280,720
with_actor,23,3.45,3.02,-37.45,-90,2,car,0.6878,464.52,454.69,541.66,508.37,4141.0,1280,720
with_actor,23,3.45,3.02,-37.45,-90,2,car,0.5032,0.07,459.36,245.48,634.65,43017.1,1280,720
with_actor,23,3.45,3.02,-37.45,-90,2,car,0.4701,241.21,460.46,354.26,533.03,8203.1,1280,720
with_actor,24,3.6,3.02,-38.7,-90,2,car,0.8797,1026.72,491.14,1279.4,620.66,32726.7,1280,720
with_actor,24,3.6,3.02,-38.7,-90,2,car,0.7069,451.18,453.78,536.97,512.82,5064.7,1280,720
with_actor,24,3.6,3.02,-38.7,-90,2,car,0.6791,935.23,466.81,1153.96,554.31,19139.4,1280,720
with_actor,24,3.6,3.02,-38.7,-90,2,car,0.6562,787.5,440.06,874.81,486.63,4066.3,1280,720
with_actor,24,3.6,3.02,-38.7,-90,2,car,0.5936,198.49,444.48,330.79,541.96,12895.9,1280,720
with_actor,25,3.75,3.02,-39.95,-90,2,car,0.7779,436.88,452.07,529.68,518.26,6143.1,1280,720
with_actor,25,3.75,3.02,-39.95,-90,2,car,0.7243,1074.72,495.83,1279.69,654.6,32543.6,1280,720
with_actor,25,3.75,3.02,-39.95,-90,2,car,0.7084,149.38,427.78,375.61,549.58,27554.1,1280,720
with_actor,25,3.75,3.02,-39.95,-90,2,car,0.6595,794.16,440.77,900.76,491.38,5394.8,1280,720
with_actor,25,3.75,3.02,-39.95,-90,2,car,0.4831,362.77,431.43,404.31,494.49,2619.3,1280,720
with_actor,25,3.75,3.02,-39.95,-90,2,car,0.4691,400.83,433.27,481.71,487.11,4354.3,1280,720
with_actor,26,3.9,3.02,-41.2,-90,2,car,0.8008,420.24,454.68,514.18,523.78,6490.2,1280,720
with_actor,26,3.9,3.02,-41.2,-90,2,car,0.7434,806.01,438.65,925.05,493.14,6486.0,1280,720
with_actor,26,3.9,3.02,-41.2,-90,2,car,0.7136,92.23,431.79,304.49,559.71,27153.7,1280,720
with_actor,26,3.9,3.02,-41.2,-90,2,car,0.5506,351.54,438.73,390.75,498.06,2326.2,1280,720
with_actor,27,4.05,3.02,-42.45,-90,2,car,0.8295,822.27,438.02,938.54,495.59,6693.8,1280,720
with_actor,27,4.05,3.02,-42.45,-90,2,car,0.6799,402.99,455.11,504.49,529.84,7585.6,1280,720
with_actor,27,4.05,3.02,-42.45,-90,2,car,0.6479,16.1,410.41,329.1,575.38,51634.9,1280,720
with_actor,27,4.05,3.02,-42.45,-90,7,truck,0.5093,18.71,409.49,329.33,573.87,51061.1,1280,720
with_actor,28,4.2,3.02,-43.7,-90,2,car,0.7911,840.45,437.57,961.92,498.49,7400.3,1280,720
with_actor,28,4.2,3.02,-43.7,-90,2,car,0.7105,377.08,454.63,489.23,538.32,9385.7,1280,720
with_actor,28,4.2,3.02,-43.7,-90,2,car,0.4779,1137.5,507.87,1279.43,617.48,15555.7,1280,720
with_actor,28,4.2,3.02,-43.7,-90,2,car,0.4694,949.49,441.26,1022.94,487.96,3429.8,1280,720
with_actor,29,4.35,3.02,-44.95,-90,2,car,0.7661,853.46,437.26,981.13,501.94,8257.9,1280,720
with_actor,29,4.35,3.02,-44.95,-90,2,car,0.4927,346.42,455.6,496.95,547.52,13836.9,1280,720
with_actor,30,4.5,3.02,-46.2,-90,2,car,0.669,855.87,439.6,1007.59,506.27,10114.6,1280,720
with_actor,31,4.65,3.02,-47.45,-90,2,car,0.6941,877.51,437.72,1033.06,511.29,11444.7,1280,720
with_actor,32,4.8,3.02,-48.7,-90,2,car,0.5553,901.97,436.36,1088.23,512.23,14131.9,1280,720
with_actor,32,4.8,3.02,-48.7,-90,2,car,0.5057,843.0,451.84,886.99,494.44,1874.4,1280,720
with_actor,33,4.95,3.02,-49.95,-90,9,traffic light,0.7601,1167.99,272.53,1205.71,350.87,2954.4,1280,720
with_actor,33,4.95,3.02,-49.95,-90,2,car,0.676,921.95,434.21,1119.06,521.33,17171.6,1280,720
with_actor,33,4.95,3.02,-49.95,-90,2,car,0.4735,854.5,452.27,914.47,496.66,2661.7,1280,720
with_actor,34,5.1,3.02,-51.2,-90,2,car,0.4736,934.98,432.94,1158.47,529.03,21475.1,1280,720
