label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,result_txt
baseline,baseline,0,50.0,50.0,0.4,2.5,34.72222222222222,False,,0.0,0.0,1.5615470092270711,50.0,0.0,3.9239999999999853,0.0,9.442191094829747,5.253940636896918,3.9240000000000004,NO BRAKE / passed
baseline,baseline,0,60.0,60.0,0.85,1.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,1.484588440316041,38.44949870536988,21.550501294630127,8.3385,0.0,4.925178534328225,7.129640561332657,8.3385,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,60.0,0.4,1.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,1.4832356581368074,26.938747207841743,33.06125279215826,3.9239999999999853,0.0,4.942493453130767,7.138451754636607,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,60.0,0.85,1.5,25.0,False,,0.0,0.0,1.572722593402794,60.0,0.0,8.338499999999982,0.0,6.67722771623502,7.017557976464469,8.3385,NO BRAKE / passed
baseline,baseline,0,60.0,60.0,0.4,1.5,25.0,False,,0.0,0.0,1.572616988756766,60.0,0.0,3.9239999999999853,0.0,6.257465395660359,7.019651579308714,3.9240000000000004,NO BRAKE / passed
baseline,baseline,0,60.0,60.0,0.85,2.0,33.333333333333336,False,,0.0,0.0,1.5162834965719085,60.0,0.0,3.3354000497013203,0.0,14.614597322875683,6.958661529351978,8.3385,NO BRAKE / passed
baseline,baseline,0,60.0,60.0,0.4,2.0,33.333333333333336,False,,0.0,0.0,1.5155070464620741,60.0,0.0,1.5696000233888796,0.0,14.266277327033446,6.961691161618747,3.9240000000000004,NO BRAKE / passed
baseline,baseline,0,60.0,60.0,0.85,2.5,41.66666666666667,False,,0.0,0.0,1.5523920727186682,60.0,0.0,3.3354000497013203,0.0,23.007934573937327,6.391688745864886,8.3385,NO BRAKE / passed
baseline,baseline,0,60.0,60.0,0.4,2.5,41.66666666666667,False,,0.0,0.0,1.5515229379837427,60.0,0.0,1.569600023388844,0.0,22.976135267255103,6.394061587078236,3.9240000000000004,NO BRAKE / passed
proposed,proposed,0,30.0,30.0,0.85,1.0,8.333333333333334,True,,0.6712913828119929,8.359689398119565,1.5088799646867508,30.0,0.0,8.3385,6.274269104003906,5.438911469611671,4.811416715652392,8.3385,AVOIDED
proposed,proposed,0,30.0,30.0,0.4,1.0,8.333333333333334,False,vehicle.ue4.audi.tt,0.0,0.0,1.7697033587843367,20.61139416996382,9.38860583003618,3.924000000000003,0.0,4.922817246345513,4.47286744047186,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,30.0,30.0,0.85,1.5,12.5,True,,0.9792502074693052,6.895581435898052,1.474052343947086,30.0,0.0,8.3385,6.82330322265625,5.747101083323797,4.40442254770468,8.3385,AVOIDED
proposed,proposed,0,30.0,30.0,0.4,1.5,12.5,False,vehicle.ue4.audi.tt,0.0,0.0,1.6183505074727498,24.08539758455978,5.914602415440221,3.924000000000003,0.0,4.906295778376868,4.185715053108038,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,30.0,30.0,0.85,2.0,16.666666666666668,True,,1.5486813843112897,5.107329718194639,1.5810332343918112,30.0,0.0,8.3385,7.940647125244141,6.316356784332467,3.5988749606048316,8.3385,AVOIDED
proposed,proposed,0,30.0,30.0,0.4,2.0,16.666666666666668,True,,0.25993539124373033,4.019539740829969,1.6995193420615362,30.0,0.0,3.924000000000003,9.639938354492188,5.0277862670982225,3.452731855582057,3.9240000000000004,AVOIDED
proposed,proposed,0,30.0,30.0,0.85,2.5,20.833333333333336,True,,0.8010883827468183,3.501718372541213,1.5035631538780867,30.0,0.0,3.335400049701338,9.961446762084961,5.5689392586013104,3.1712650949832226,8.3385,AVOIDED
proposed,proposed,0,30.0,30.0,0.4,2.5,20.833333333333336,True,,1.712167740067155,4.10744510238887,1.7047867757030968,30.0,0.0,3.924000000000003,9.87466049194336,6.479877472124696,2.9452805249619,3.9240000000000004,AVOIDED
proposed,proposed,0,40.0,40.0,0.85,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.500388805933744,35.924029243253415,4.075970756746586,8.3385,0.0,4.892276174321529,5.669209878360127,8.3385,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,40.0,40.0,0.4,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.6641101936111227,25.026148183371422,14.973851816628578,3.924000000000003,0.0,4.927097322352728,5.388923776703876,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
