label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt,noise_sigma_m,noise_sigma_vr,dropout_p,dropout_mode,test_mode,seed,comp_source,comp_L_frames
proposed_enhanced_d0f,proposed_enhanced,0,30.0,0.4,40.0,20.0,True,,0.6329562781182583,0.0,1.727200613029766,30.0,0.0,3.924000000000003,13.676406860351562,4.307260465416079,2.390730948600757,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380019,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,40.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.1501102073874885,20.694892677663113,19.305107322336887,8.338499999999982,0.0,3.8819999398502856,33.28535665424344,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380020,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,40.0,0.85,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.6141599165876912,39.431659562207614,0.5683404377923829,8.338500000000018,0.0,3.8152951464257883,8.420698830706764,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380021,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,40.0,0.85,30.0,20.0,True,,0.4810580141458134,7.464815042622891,1.0491368030451966,40.0,0.0,8.3385,11.604576110839844,4.155362201443634,5.008331380756813,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380022,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,40.0,0.85,35.0,20.0,True,,0.4823449403429292,7.464558147678174,1.0933288826888092,40.0,0.0,8.3385,11.604576110839844,4.15664912764075,5.042133668901332,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380023,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,40.0,0.85,40.0,20.0,True,,0.4810617902742651,7.464815042622891,1.0934367949226678,40.0,0.0,8.3385,11.604576110839844,4.155365977572086,5.042284615387712,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380024,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,40.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.2518607036226785,33.08860290601171,6.911397093988291,3.924000000000003,0.0,3.820263313116803,3.9603839026224663,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380025,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,40.0,0.4,25.0,20.0,True,,0.959654028780565,4.035941230617559,1.6838269796147827,40.0,0.0,3.924000000000003,18.301773071289062,4.633958216078386,2.9670315408161603,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380026,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,40.0,0.4,30.0,20.0,True,,1.068782799805252,4.002095125831429,2.0880054026910475,40.0,0.0,3.924000000000003,23.160781860351562,4.743086987103073,2.4097439560587066,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380027,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,40.0,0.4,35.0,20.0,True,,1.4947955446336891,4.06738792333732,1.5397127114380706,40.0,0.0,3.924000000000003,16.109716415405273,5.169084438389189,3.4490762113198645,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380028,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,40.0,0.4,40.0,20.0,True,,1.3344178746672473,4.036013133195462,1.9882779080849502,40.0,0.0,3.924000000000003,21.239639282226562,5.008722061965068,2.692462526255323,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380029,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,50.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0282943924109114,45.69803116844941,4.301968831550587,8.3385,0.0,3.8128721515393,6.251817578351672,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380030,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,50.0,0.85,25.0,20.0,True,,0.45046258479036094,8.259250118162122,1.2728104921688268,50.0,0.0,8.338500000000018,17.28561782836914,4.124538065949098,5.040610907566165,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380031,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,50.0,0.85,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.613945021705189,38.19292828846796,11.807071711532037,8.338500000000018,0.0,3.8331226666580007,10.750528962788541,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380032,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,50.0,0.85,35.0,20.0,True,,1.282818156992799,9.046357090180177,1.0049640659373305,50.0,0.0,8.338500000000018,13.001171112060547,4.95712234429062,6.639201261619354,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380033,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,50.0,0.85,40.0,20.0,True,,0.8168186771658936,7.887537014781814,1.305084581052742,50.0,0.0,8.338500000000018,17.609844207763672,4.490871909313803,5.16126828009213,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380034,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,50.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0283095496803998,30.89710919269787,19.10289080730213,3.9239999999999853,0.0,3.931804011362903,6.252550149773482,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380035,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,50.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.3758346436684956,38.277805660868836,11.722194339131166,3.924000000000003,0.0,3.8306275281397872,4.67320867168864,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380036,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,50.0,0.4,30.0,20.0,True,,0.17951965028795547,4.043905941500906,1.693193044708282,50.0,0.0,3.924000000000003,23.768539428710938,3.8538238375857765,3.810387753672799,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380037,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,50.0,0.4,35.0,20.0,True,,2.0889202753311755,3.9921376942202413,2.0676783353048585,50.0,0.0,3.924000000000003,27.380136489868164,5.763090991476515,3.138659343808589,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380038,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,50.0,0.4,40.0,20.0,True,,2.0421813354331375,4.0181403790707355,2.4010143280389222,50.0,0.0,3.924000000000003,32.258137702941895,5.716485522730959,2.716103077871017,3.9240000000000004,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380039,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,60.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8715222210920067,44.84740935167251,15.152590648327486,8.3385,0.0,3.8926817520277406,9.086393451542861,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380040,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,60.0,0.85,25.0,20.0,True,,0.5394924928235163,8.499512357079121,1.1321023594448238,60.0,0.0,8.3385,17.8830509185791,4.213796680121337,6.9582527156196,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380041,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,60.0,0.85,30.0,20.0,True,,0.9990036265194631,8.958729680127387,1.450181401363242,60.0,0.0,8.3385,23.221839904785156,4.673128729056905,5.434061926855033,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380042,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,60.0,0.85,35.0,20.0,True,,1.037472034860916,8.210602880240085,1.5297888343786956,60.0,0.0,8.3385,24.8402042388916,4.71160087264355,5.160787367370734,8.3385,True,AVOIDED,0.0,0.0,0.0,freeze,latency_comp,21380043,oracle,0
