label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt,noise_sigma_m,noise_sigma_vr,dropout_p,dropout_mode,test_mode,seed,comp_source,comp_L_frames
enhanced_predictive_d8f_L4f,enhanced_predictive,8,30.0,30.0,0.4,2.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,2.4856270174789907,25.603155238142868,4.396844761857134,3.924000000000003,0.0,4.903713231527209,2.9234281792754633,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_mismatch,26660015,mismatched,4
enhanced_predictive_d8f_L4f,enhanced_predictive,8,30.0,30.0,0.85,2.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,0.6127733781529325,21.682572317018202,8.317427682981798,8.3385,0.0,4.908359541915419,6.743566674507407,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_mismatch,26660016,mismatched,4
enhanced_predictive_d8f_L4f,enhanced_predictive,8,30.0,30.0,0.4,2.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,1.8056867205425549,25.807439049264424,4.192560950735576,3.924000000000003,0.0,4.904163361642501,2.7260663960576483,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_mismatch,26660017,mismatched,4
enhanced_predictive_d8f_L4f,enhanced_predictive,8,30.0,30.0,0.85,3.0,25.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.6163183871157842,21.694167681638106,8.305832318361894,8.3385,0.0,4.900890427306845,6.704716467298071,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_mismatch,26660018,mismatched,4
enhanced_predictive_d8f_L4f,enhanced_predictive,8,30.0,30.0,0.4,3.0,25.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5176576727164632,25.185879322771264,4.814120677228738,3.924000000000003,0.0,4.905395549613646,2.725564425060676,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_mismatch,26660019,mismatched,4
enhanced_predictive_d8f_L4f,enhanced_predictive,8,40.0,40.0,0.85,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.1293495455238685,29.990051686296958,10.00994831370304,8.3385,0.0,4.924916652840426,7.528066074235256,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_mismatch,26660020,mismatched,4
enhanced_predictive_d8f_L4f,enhanced_predictive,8,40.0,40.0,0.4,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.4625655724835638,25.794024807306016,14.205975192693986,3.924000000000003,0.0,4.897527702646254,6.587173239442366,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_mismatch,26660021,mismatched,4
enhanced_predictive_d8f_L4f,enhanced_predictive,8,40.0,40.0,0.85,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,0.0,1.2468057055931854,31.305138836815395,8.694861163184607,8.338500000000018,0.0,4.908007480574177,6.248368817724047,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_mismatch,26660022,mismatched,4
enhanced_predictive_d8f_L4f,enhanced_predictive,8,40.0,40.0,0.4,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,0.0,2.985057051632679,33.03248104358987,6.967518956410134,3.924000000000003,0.0,4.91075517166407,4.114588131188226,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_mismatch,26660023,mismatched,4
enhanced_predictive_d8f_L4f,enhanced_predictive,8,40.0,40.0,0.85,2.0,22.22222222222222,False,vehicle.ue4.audi.tt,0.0,0.0,0.9648030947434129,31.369409926984126,8.630590073015872,8.338500000000018,0.0,4.900474453234469,6.225995549093826,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_mismatch,26660024,mismatched,4
